Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.30216	11	0	1	LastDelay	0.20216	202160	1	7
0.30216	11	0	1	FullDelay	0.20216	202160	1	7
0.40216	11	0	2	LastDelay	0.20216	202160	1	7
0.40216	11	0	2	FullDelay	0.20216	202160	1	7
0.50216	11	0	3	LastDelay	0.20216	202160	1	7
0.50216	11	0	3	FullDelay	0.20216	202160	1	7
0.50432	0	0	1	LastDelay	0.40432	404320	1	14
0.50432	0	0	1	FullDelay	0.40432	404320	1	14
0.60216	11	0	4	LastDelay	0.20216	202160	1	7
0.60216	11	0	4	FullDelay	0.20216	202160	1	7
0.60432	0	0	2	LastDelay	0.40432	404320	1	14
0.60432	0	0	2	FullDelay	0.40432	404320	1	14
0.70216	11	0	5	LastDelay	0.20216	202160	1	7
0.70216	11	0	5	FullDelay	0.20216	202160	1	7
0.70432	0	0	3	LastDelay	0.40432	404320	1	14
0.70432	0	0	3	FullDelay	0.40432	404320	1	14
0.80216	11	0	0	LastDelay	0.20216	202160	1	7
0.80216	11	0	0	FullDelay	0.80216	802160	2	7
0.80432	0	0	4	LastDelay	0.40432	404320	1	14
0.80432	0	0	4	FullDelay	0.40432	404320	1	14
0.90216	11	0	6	LastDelay	0.20216	202160	1	7
0.90216	11	0	6	FullDelay	0.20216	202160	1	7
0.90432	0	0	5	LastDelay	0.40432	404320	1	14
0.90432	0	0	5	FullDelay	0.40432	404320	1	14
1.00216	11	0	7	LastDelay	0.20216	202160	1	7
1.00216	11	0	7	FullDelay	0.20216	202160	1	7
1.00432	0	0	6	LastDelay	0.40432	404320	1	14
1.00432	0	0	6	FullDelay	0.40432	404320	1	14
1.10216	11	0	8	LastDelay	0.20216	202160	1	7
1.10216	11	0	8	FullDelay	0.20216	202160	1	7
1.10432	0	0	7	LastDelay	0.40432	404320	1	14
1.10432	0	0	7	FullDelay	0.40432	404320	1	14
1.20216	11	0	9	LastDelay	0.20216	202160	1	7
1.20216	11	0	9	FullDelay	0.20216	202160	1	7
1.20432	0	0	8	LastDelay	0.40432	404320	1	14
1.20432	0	0	8	FullDelay	0.40432	404320	1	14
1.30216	11	0	10	LastDelay	0.20216	202160	1	7
1.30216	11	0	10	FullDelay	0.20216	202160	1	7
1.30432	0	0	0	LastDelay	0.40432	404320	1	14
1.30432	0	0	0	FullDelay	1.30432	1.30432e+06	2	14
1.40216	11	0	11	LastDelay	0.20216	202160	1	7
1.40216	11	0	11	FullDelay	0.20216	202160	1	7
1.40432	0	0	9	LastDelay	0.40432	404320	1	14
1.40432	0	0	9	FullDelay	0.40432	404320	1	14
1.50216	11	0	12	LastDelay	0.20216	202160	1	7
1.50216	11	0	12	FullDelay	0.20216	202160	1	7
1.50432	0	0	10	LastDelay	0.40432	404320	1	14
1.50432	0	0	10	FullDelay	0.40432	404320	1	14
1.60216	11	0	13	LastDelay	0.20216	202160	1	7
1.60216	11	0	13	FullDelay	0.20216	202160	1	7
1.60432	0	0	11	LastDelay	0.40432	404320	1	14
1.60432	0	0	11	FullDelay	0.40432	404320	1	14
1.70216	11	0	14	LastDelay	0.20216	202160	1	7
1.70216	11	0	14	FullDelay	0.20216	202160	1	7
1.70432	0	0	12	LastDelay	0.40432	404320	1	14
1.70432	0	0	12	FullDelay	0.40432	404320	1	14
1.80216	11	0	15	LastDelay	0.20216	202160	1	7
1.80216	11	0	15	FullDelay	0.20216	202160	1	7
1.80432	0	0	13	LastDelay	0.40432	404320	1	14
1.80432	0	0	13	FullDelay	0.40432	404320	1	14
