Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.35992	9	0	1	FullDelay	0.25992	259920	1	9
0.35992	90	0	1	FullDelay	0.25992	259920	1	9
0.3888	8	0	1	FullDelay	0.2888	288800	1	10
0.397376	80	0	1	FullDelay	0.297376	297376	1	10
0.424528	25	0	1	FullDelay	0.324528	324528	1	11
0.45168	15	0	1	FullDelay	0.35168	351680	1	12
0.45992	9	0	2	FullDelay	0.25992	259920	1	9
0.461232	90	0	2	FullDelay	0.261232	261232	1	9
0.4888	8	0	2	FullDelay	0.2888	288800	1	10
0.497376	80	0	2	FullDelay	0.297376	297376	1	10
0.50432	22	0	1	FullDelay	0.40432	404320	1	14
0.524528	25	0	2	FullDelay	0.324528	324528	1	11
0.55168	15	0	2	FullDelay	0.35168	351680	1	12
0.55992	9	0	3	FullDelay	0.25992	259920	1	9
0.561232	90	0	3	FullDelay	0.261232	261232	1	9
0.56208	11	0	1	FullDelay	0.46208	462080	1	16
0.5888	8	0	3	FullDelay	0.2888	288800	1	10
0.59096	1	0	1	FullDelay	0.49096	490960	1	17
0.597376	80	0	3	FullDelay	0.297376	297376	1	10
0.60432	22	0	2	FullDelay	0.40432	404320	1	14
0.61984	0	0	1	FullDelay	0.51984	519840	1	18
0.624528	25	0	3	FullDelay	0.324528	324528	1	11
0.65168	15	0	3	FullDelay	0.35168	351680	1	12
0.65992	9	0	4	FullDelay	0.25992	259920	1	9
0.661232	90	0	4	FullDelay	0.261232	261232	1	9
0.66208	11	0	2	FullDelay	0.46208	462080	1	16
0.6888	8	0	4	FullDelay	0.2888	288800	1	10
0.69096	1	0	2	FullDelay	0.49096	490960	1	17
0.697376	80	0	4	FullDelay	0.297376	297376	1	10
0.70432	22	0	3	FullDelay	0.40432	404320	1	14
0.71984	0	0	2	FullDelay	0.51984	519840	1	18
0.724528	25	0	4	FullDelay	0.324528	324528	1	11
0.75168	15	0	4	FullDelay	0.35168	351680	1	12
0.75992	9	0	5	FullDelay	0.25992	259920	1	9
0.761232	90	0	5	FullDelay	0.261232	261232	1	9
0.76208	11	0	3	FullDelay	0.46208	462080	1	16
0.7888	8	0	5	FullDelay	0.2888	288800	1	10
0.79096	1	0	3	FullDelay	0.49096	490960	1	17
0.797376	80	0	5	FullDelay	0.297376	297376	1	10
0.80432	22	0	4	FullDelay	0.40432	404320	1	14
0.81984	0	0	3	FullDelay	0.51984	519840	1	18
0.824528	25	0	5	FullDelay	0.324528	324528	1	11
0.85168	15	0	5	FullDelay	0.35168	351680	1	12
0.85992	9	0	6	FullDelay	0.25992	259920	1	9
0.861232	90	0	6	FullDelay	0.261232	261232	1	9
0.86208	11	0	4	FullDelay	0.46208	462080	1	16
0.8888	8	0	6	FullDelay	0.2888	288800	1	10
0.89096	1	0	4	FullDelay	0.49096	490960	1	17
0.897376	80	0	6	FullDelay	0.297376	297376	1	10
0.90432	22	0	5	FullDelay	0.40432	404320	1	14
0.91984	0	0	4	FullDelay	0.51984	519840	1	18
0.924528	25	0	6	FullDelay	0.324528	324528	1	11
0.95168	15	0	6	FullDelay	0.35168	351680	1	12
0.95992	9	0	0	FullDelay	0.95992	959920	2	9
0.961232	90	0	0	FullDelay	0.961232	961232	2	9
0.96208	11	0	5	FullDelay	0.46208	462080	1	16
0.9888	8	0	0	FullDelay	0.9888	988800	2	10
0.99096	1	0	5	FullDelay	0.49096	490960	1	17
0.997376	80	0	0	FullDelay	0.997376	997376	2	10
1.00432	22	0	6	FullDelay	0.40432	404320	1	14
1.01984	0	0	5	FullDelay	0.51984	519840	1	18
1.02453	25	0	7	FullDelay	0.324528	324528	1	11
1.05168	15	0	7	FullDelay	0.35168	351680	1	12
1.05992	9	0	7	FullDelay	0.25992	259920	1	9
1.06123	90	0	7	FullDelay	0.261232	261232	1	9
1.06208	11	0	6	FullDelay	0.46208	462080	1	16
1.0888	8	0	7	FullDelay	0.2888	288800	1	10
1.09096	1	0	6	FullDelay	0.49096	490960	1	17
1.09738	80	0	7	FullDelay	0.297376	297376	1	10
1.10432	22	0	7	FullDelay	0.40432	404320	1	14
1.11984	0	0	6	FullDelay	0.51984	519840	1	18
1.12453	25	0	0	FullDelay	1.12453	1.12453e+06	2	11
1.15168	15	0	0	FullDelay	1.15168	1.15168e+06	2	12
1.15992	9	0	8	FullDelay	0.25992	259920	1	9
