Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	6.4	0	4	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	2	internal://	InInterests	0	0	0	0
0.5	0	2	internal://	OutInterests	0	0	0	0
0.5	0	2	internal://	InData	0	0	0	0
0.5	0	2	internal://	OutData	0	0	0	0
0.5	0	2	internal://	InNacks	0	0	0	0
0.5	0	2	internal://	OutNacks	0	0	0	0
0.5	0	2	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	0	2	internal://	InTimedOutInterests	0	0	0	0
0.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	internal://	InInterests	0	0	0	0
0.5	0	256	internal://	OutInterests	0	0	0	0
0.5	0	256	internal://	InData	0	0	0	0
0.5	0	256	internal://	OutData	0	0	0	0
0.5	0	256	internal://	InNacks	0	0	0	0
0.5	0	256	internal://	OutNacks	0	0	0	0
0.5	0	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	0	256	internal://	InTimedOutInterests	0	0	0	0
0.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutInterests	78.4	2.22031	49	1.3877
0.5	0	257	netdev://[00:00:00:00:00:01]	InData	43.2	44.6766	27	27.9229
0.5	0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	43.2	0	27	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	InInterests	80	2.22031	50	1.3877
0.5	0	258	appFace://	OutInterests	0	0	0	0
0.5	0	258	appFace://	InData	0	0	0	0
0.5	0	258	appFace://	OutData	43.2	44.6766	27	27.9229
0.5	0	258	appFace://	InNacks	0	0	0	0
0.5	0	258	appFace://	OutNacks	1.6	0	1	0
0.5	0	258	appFace://	InSatisfiedInterests	43.2	0	27	0
0.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	49.6	0	31	0
0.5	0	-1	all	TimedOutInterests	1.6	0	1	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InNacks	0	0	0	0
0.5	1	1	internal://	OutNacks	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	4.8	0	3	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	2	internal://	InInterests	0	0	0	0
0.5	1	2	internal://	OutInterests	0	0	0	0
0.5	1	2	internal://	InData	0	0	0	0
0.5	1	2	internal://	OutData	0	0	0	0
0.5	1	2	internal://	InNacks	0	0	0	0
0.5	1	2	internal://	OutNacks	0	0	0	0
0.5	1	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	1	2	internal://	InTimedOutInterests	0	0	0	0
0.5	1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	256	internal://	InInterests	0	0	0	0
0.5	1	256	internal://	OutInterests	0	0	0	0
0.5	1	256	internal://	InData	0	0	0	0
0.5	1	256	internal://	OutData	0	0	0	0
0.5	1	256	internal://	InNacks	0	0	0	0
0.5	1	256	internal://	OutNacks	0	0	0	0
0.5	1	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	1	256	internal://	InTimedOutInterests	0	0	0	0
0.5	1	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutInterests	78.4	2.45	49	1.53125
0.5	1	257	netdev://[00:00:00:00:00:03]	InData	38.4	39.825	24	24.8906
0.5	1	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	38.4	0	24	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
0.5	1	258	appFace://	InInterests	80	2.45	50	1.53125
0.5	1	258	appFace://	OutInterests	0	0	0	0
0.5	1	258	appFace://	InData	0	0	0	0
0.5	1	258	appFace://	OutData	38.4	39.825	24	24.8906
0.5	1	258	appFace://	InNacks	0	0	0	0
0.5	1	258	appFace://	OutNacks	1.6	0	1	0
0.5	1	258	appFace://	InSatisfiedInterests	38.4	0	24	0
0.5	1	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	43.2	0	27	0
0.5	1	-1	all	TimedOutInterests	1.6	0	1	0
0.5	2	1	internal://	InInterests	0	0	0	0
0.5	2	1	internal://	OutInterests	0	0	0	0
0.5	2	1	internal://	InData	0	0	0	0
0.5	2	1	internal://	OutData	0	0	0	0
0.5	2	1	internal://	InNacks	0	0	0	0
0.5	2	1	internal://	OutNacks	0	0	0	0
0.5	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	2	1	internal://	OutSatisfiedInterests	12.8	0	8	0
0.5	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	2	internal://	InInterests	0	0	0	0
0.5	2	2	internal://	OutInterests	0	0	0	0
0.5	2	2	internal://	InData	0	0	0	0
0.5	2	2	internal://	OutData	0	0	0	0
0.5	2	2	internal://	InNacks	0	0	0	0
0.5	2	2	internal://	OutNacks	0	0	0	0
0.5	2	2	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	2	2	internal://	InTimedOutInterests	0	0	0	0
0.5	2	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	2	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	256	internal://	InInterests	0	0	0	0
0.5	2	256	internal://	OutInterests	0	0	0	0
0.5	2	256	internal://	InData	0	0	0	0
0.5	2	256	internal://	OutData	0	0	0	0
0.5	2	256	internal://	InNacks	0	0	0	0
0.5	2	256	internal://	OutNacks	0	0	0	0
0.5	2	256	internal://	InSatisfiedInterests	9.6	0	6	0
0.5	2	256	internal://	InTimedOutInterests	0	0	0	0
0.5	2	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	2	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:02]	InInterests	76.8	2.175	48	1.35938
0.5	2	257	netdev://[00:00:00:00:00:02]	OutInterests	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:02]	OutData	46.4	47.9859	29	29.9912
