Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	leaf-1	1	internal://	InInterests	0	0	0	0
0.5	leaf-1	1	internal://	OutInterests	0	0	0	0
0.5	leaf-1	1	internal://	InData	0	0	0	0
0.5	leaf-1	1	internal://	OutData	0	0	0	0
0.5	leaf-1	1	internal://	InNacks	0	0	0	0
0.5	leaf-1	1	internal://	OutNacks	0	0	0	0
0.5	leaf-1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	1	internal://	OutSatisfiedInterests	1.6	0	1	0
0.5	leaf-1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	2	internal://	InInterests	0	0	0	0
0.5	leaf-1	2	internal://	OutInterests	0	0	0	0
0.5	leaf-1	2	internal://	InData	0	0	0	0
0.5	leaf-1	2	internal://	OutData	0	0	0	0
0.5	leaf-1	2	internal://	InNacks	0	0	0	0
0.5	leaf-1	2	internal://	OutNacks	0	0	0	0
0.5	leaf-1	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	leaf-1	2	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	OutInterests	78.4	2.45	49	1.53125
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	InData	78.4	81.3094	49	50.8184
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	78.4	0	49	0
0.5	leaf-1	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	InInterests	78.4	2.45	49	1.53125
0.5	leaf-1	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	InData	0	0	0	0
0.5	leaf-1	258	appFace://	OutData	78.4	81.3094	49	50.8184
0.5	leaf-1	258	appFace://	InNacks	0	0	0	0
0.5	leaf-1	258	appFace://	OutNacks	0	0	0	0
0.5	leaf-1	258	appFace://	InSatisfiedInterests	78.4	0	49	0
0.5	leaf-1	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	-1	all	SatisfiedInterests	80	0	50	0
0.5	leaf-1	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-2	1	internal://	InInterests	0	0	0	0
0.5	leaf-2	1	internal://	OutInterests	0	0	0	0
0.5	leaf-2	1	internal://	InData	0	0	0	0
0.5	leaf-2	1	internal://	OutData	0	0	0	0
0.5	leaf-2	1	internal://	InNacks	0	0	0	0
0.5	leaf-2	1	internal://	OutNacks	0	0	0	0
0.5	leaf-2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	2	internal://	InInterests	0	0	0	0
0.5	leaf-2	2	internal://	OutInterests	0	0	0	0
0.5	leaf-2	2	internal://	InData	0	0	0	0
0.5	leaf-2	2	internal://	OutData	0	0	0	0
0.5	leaf-2	2	internal://	InNacks	0	0	0	0
0.5	leaf-2	2	internal://	OutNacks	0	0	0	0
0.5	leaf-2	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	leaf-2	2	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	256	internal://	InInterests	0	0	0	0
0.5	leaf-2	256	internal://	OutInterests	0	0	0	0
0.5	leaf-2	256	internal://	InData	0	0	0	0
0.5	leaf-2	256	internal://	OutData	0	0	0	0
0.5	leaf-2	256	internal://	InNacks	0	0	0	0
0.5	leaf-2	256	internal://	OutNacks	0	0	0	0
0.5	leaf-2	256	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	leaf-2	256	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	InInterests	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	OutInterests	78.4	2.45	49	1.53125
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	InData	78.4	81.3094	49	50.8184
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	78.4	0	49	0
0.5	leaf-2	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	InInterests	78.4	2.45	49	1.53125
0.5	leaf-2	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	InData	0	0	0	0
0.5	leaf-2	258	appFace://	OutData	78.4	81.3094	49	50.8184
0.5	leaf-2	258	appFace://	InNacks	0	0	0	0
0.5	leaf-2	258	appFace://	OutNacks	0	0	0	0
0.5	leaf-2	258	appFace://	InSatisfiedInterests	78.4	0	49	0
0.5	leaf-2	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	-1	all	SatisfiedInterests	81.6	0	51	0
0.5	leaf-2	-1	all	TimedOutInterests	1.6	0	1	0
0.5	leaf-3	1	internal://	InInterests	0	0	0	0
0.5	leaf-3	1	internal://	OutInterests	0	0	0	0
0.5	leaf-3	1	internal://	InData	0	0	0	0
0.5	leaf-3	1	internal://	OutData	0	0	0	0
0.5	leaf-3	1	internal://	InNacks	0	0	0	0
0.5	leaf-3	1	internal://	OutNacks	0	0	0	0
0.5	leaf-3	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-3	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	1	internal://	OutSatisfiedInterests	4.8	0	3	0
0.5	leaf-3	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	2	internal://	InInterests	0	0	0	0
0.5	leaf-3	2	internal://	OutInterests	0	0	0	0
0.5	leaf-3	2	internal://	InData	0	0	0	0
0.5	leaf-3	2	internal://	OutData	0	0	0	0
0.5	leaf-3	2	internal://	InNacks	0	0	0	0
0.5	leaf-3	2	internal://	OutNacks	0	0	0	0
0.5	leaf-3	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	leaf-3	2	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-3	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	256	internal://	InInterests	0	0	0	0
0.5	leaf-3	256	internal://	OutInterests	0	0	0	0
0.5	leaf-3	256	internal://	InData	0	0	0	0
0.5	leaf-3	256	internal://	OutData	0	0	0	0
0.5	leaf-3	256	internal://	InNacks	0	0	0	0
0.5	leaf-3	256	internal://	OutNacks	0	0	0	0
0.5	leaf-3	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-3	256	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-3	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	257	netdev://[00:00:00:00:00:05]	InInterests	0	0	0	0
0.5	leaf-3	257	netdev://[00:00:00:00:00:05]	OutInterests	78.4	2.45	49	1.53125
0.5	leaf-3	257	netdev://[00:00:00:00:00:05]	InData	78.4	81.3094	49	50.8184
0.5	leaf-3	257	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
0.5	leaf-3	257	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
0.5	leaf-3	257	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
